가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재년도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
송화택지로,36.964018,127.053374,36.964003,127.06883,은행+왕벚+이팝,343,1795,,도로 좌우쪽으로 은행+왕벚+이팝나무가 심겨져 있어 아름다운 경관 연출,송화택지로,,평택 팽성읍 안정리 20-42~추팔공업단지사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
비전로,36.994805,127.098408,36.996487,127.090402,은행,44,167,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,비전로,,한별어린이집~평택소화유치원,031-8024-4212,평택시청 산림녹지과,2019-04-01
"통미로41번길, 통미로42번길",36.990992,127.097375,36.992777,127.097828,은행,36,190,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,"통미로41번길, 통미로42번길",,주공3단지사거리~제창당한약방,031-8024-4212,평택시청 산림녹지과,2019-04-01
어인남로,36.992807,127.097851,36.994946,127.101177,은행,106,537,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,어인남로,,홈엔스타일 성동럭키지물~평택아파트,031-8024-4212,평택시청 산림녹지과,2019-04-01
평택1로,36.99116,127.084917,37.00277,127.090621,중국단풍+은행,171,1080,,도로 좌우쪽으로 중국단풍+은행나무가 심겨져 있어 아름다운 경관 연출,평택1로,,평택역~검찰청입구사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
평택로,36.988393,127.089986,37.011164,127.07266,은행+왕벚,268,3163,,도로 좌우쪽으로 은행+왕벚나무가 심겨져 있어 아름다운 경관 연출,평택로,,롯데인벤스사거리~한신주유소삼거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
원평로,36.986965,127.08361,36.991225,127.073783,은행,26,714,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,원평로,,군문주공2단지아파트~평택 통복동 124-25,031-8024-4212,평택시청 산림녹지과,2019-04-01
원평1로,36.987874,127.080932,36.991289,127.084927,은행,79,385,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,원평1로,,주민교회~평택역,031-8024-4212,평택시청 산림녹지과,2019-04-01
통복고가로,36.993495,127.07735,36.997632,127.088188,은행,23,140,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,통복고가로,,SK엘투주유소~평택 통복동 16-1,031-8024-4212,평택시청 산림녹지과,2019-04-01
만세로,37.010475,127.118849,37.033463,127.126156,이팝+양버즘,237,1485,,도로 좌우쪽으로 이팝+양버즘나무가 심겨져 있어 아름다운 경관 연출,만세로,,반도유보라아이비파크~청룡교,031-8024-4212,평택시청 산림녹지과,2019-04-01
죽백2길,37.011098,127.122706,37.011835,127.110971,은행,14,148,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,죽백2길,,평택 죽백동 338-15~남원골추어탕,031-8024-4212,평택시청 산림녹지과,2019-04-01
죽백3로,36.997816,127.116357,37.005075,127.133669,느티+은행,234,1200,,도로 좌우쪽으로 느티+은행나무가 심겨져 있어 아름다운 경관 연출,죽백3로,,시대한우리아파트~용이동성당,031-8024-4212,평택시청 산림녹지과,2019-04-01
은실고가길,37.004662,127.077445,37.035173,127.070338,은행,290,998,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,은실고가길,,은실교~평택공단사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
잔다리2길,37.004081,127.079816,36.991214,127.091516,왕벚,27,308,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,잔다리2길,,평택농협 세교지점~서해방재,031-8024-4212,평택시청 산림녹지과,2019-04-01
동삭로,36.99618,127.070482,36.998241,127.080432,왕벚,180,731,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,동삭로,,평택 신대동 42-1~통복사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
경기대로,36.97395,127.116011,37.003814,127.087507,느티+은행+왕벚,1263,6829,,도로 좌우쪽으로 느티+은행+왕벚나무가 심겨져 있어 아름다운 경관 연출,경기대로,,장당삼거리~갈곶리삼거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
서동대로,37.003588,127.055961,36.988363,127.115866,느티+메타세콰이아+왕벚,715,4639,,도로 좌우쪽으로 느티+메타세콰이아+왕벚나무가 심겨져 있어 아름다운 경관 연출,서동대로,,신대교~비전지하차도사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
동삭2지구경계 통복천변,37.01309,127.103781,37.01878,127.114896,왕벚+은행,366,1858,,도로 좌우쪽으로 왕벚+은행나무가 심겨져 있어 아름다운 경관 연출,동삭2지구경계 통복천변,,양성교~평택 청룡동 497-3,031-8024-4212,평택시청 산림녹지과,2019-04-01
소사2길,36.988936,127.123772,36.990093,127.121755,왕벚,87,1426,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,소사2길,,평택소사 SK VIEW APT 104동~평택소사 SK VIEW APT 101동,031-8024-4212,평택시청 산림녹지과,2019-04-01
유천로,36.97297,127.106742,36.982963,127.136365,은행,29,36,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,유천로,,신평11동(유천3리) 버스정류장~진촌교,031-8024-4212,평택시청 산림녹지과,2019-04-01
송화택지로25번길,36.960753,127.061502,36.964311,127.060234,느티,78,318,,도로 좌우쪽으로 느티나무가 심겨져 있어 아름다운 경관 연출,송화택지로25번길,,남산공원삼거리~GS25송화중앙점,031-8024-4212,평택시청 산림녹지과,2019-04-01
부용로,36.961516,127.056568,36.965581,127.066912,왕벚,122,540,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,부용로,,성당사거리~칠칠현대오일뱅크,031-8024-4212,평택시청 산림녹지과,2019-04-01
부용로55번길,36.992489,127.08578,36.967309,127.058194,왕벚,70,376,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,부용로55번길,,정원갈비~팽성우체국,031-8024-4212,평택시청 산림녹지과,2019-04-01
부용로56번길,36.962939,127.06282,36.965052,127.06189,느티,70,310,,도로 좌우쪽으로 느티나무가 심겨져 있어 아름다운 경관 연출,부용로56번길,,청담중학교~삼정아파트,031-8024-4212,평택시청 산림녹지과,2019-04-01
팽성송화로,36.948045,127.052864,36.969797,127.069665,느티+은행+왕벚,402,2270,,도로 좌우쪽으로 느티+은행+왕벚나무가 심겨져 있어 아름다운 경관 연출,팽성송화로,,송화사거리~객사삼거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
동서촌로,36.963217,127.05224,36.96975,127.069503,은행,71,410,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,동서촌로,,안정리사거리~팽성미곡처리장삼거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
안정쇼핑로,36.959003,127.043204,36.963234,127.05224,단풍+느티+소나무,49,487,,도로 좌우쪽으로 단풍+느티+소나무나무가 심겨져 있어 아름다운 경관 연출,안정쇼핑로,,GS25안정로데오점~안정리사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
팽성남산길,36.963596,127.065049,36.965583,127.066914,은행,13,156,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,팽성남산길,,평택 팽성읍 남산리 98-38~칠칠주유소삼거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
팽성남산1길,36.960226,127.06598,36.962014,127.06309,은행,5,25,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,팽성남산1길,,평택 팽성읍 남산리 170-6~평택 팽성읍 송화리 792,031-8024-4212,평택시청 산림녹지과,2019-04-01
팽성남산4길,36.953662,127.070275,36.983473,127.062283,은행,39,335,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,팽성남산4길,,평택 팽성읍 남산리 산 18-5~내고향면옥,031-8024-4212,평택시청 산림녹지과,2019-04-01
안정순환로267번길,36.961144,127.053169,36.96063,127.052032,왕벚,33,184,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,안정순환로267번길,,팽성국제교류센터~팽성국제교류센터,031-8024-4212,평택시청 산림녹지과,2019-04-01
대사로,36.945325,127.053056,36.951324,127.079528,은행,30,406,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,대사로,,평택 팽성읍 남산리 산 42-16~평택 팽성읍 남산리 3-65,031-8024-4212,평택시청 산림녹지과,2019-04-01
평궁길,36.976315,127.090669,36.975553,127.076512,은행,106,557,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,평궁길,,평택 팽성읍 평궁리 166-6~평궁사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
계양로,36.94036,127.04807,36.935214,126.99077,왕벚+은행+느티,446,1129,,도로 좌우쪽으로 왕벚+은행+느티나무가 심겨져 있어 아름다운 경관 연출,계양로,,석근삼거리~계양낚시터,031-8024-4212,평택시청 산림녹지과,2019-04-01
두정2길,36.944859,127.026002,36.945089,127.022938,은행,6,30,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,두정2길,,두정보건진료소~두정맨션,031-8024-4212,평택시청 산림녹지과,2019-04-01
두정1길,36.940377,127.048059,36.942016,127.037744,이팝,31,170,,도로 좌우쪽으로 이팝나무가 심겨져 있어 아름다운 경관 연출,두정1길,,석근삼거리~두정교차로,031-8024-4212,평택시청 산림녹지과,2019-04-01
팽성남로,36.942085,127.037722,36.960353,126.990314,왕벚,1554,5228,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,팽성남로,,두정교차로~평택 팽성읍 도두리 120-14,031-8024-4212,평택시청 산림녹지과,2019-04-01
서동대로,36.978156,127.095511,36.99296,127.06001,메타세콰이아,664,3494,,도로 좌우쪽으로 메타세콰이아나무가 심겨져 있어 아름다운 경관 연출,서동대로,,신대교~비전지하차도사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
석근2길,36.935922,127.043501,36.938849,127.046504,은행+왕벚,9,25,,도로 좌우쪽으로 은행+왕벚나무가 심겨져 있어 아름다운 경관 연출,석근2길,,평택 팽성읍 석근리 192-1~평택 팽성읍 석근리 261-1,031-8024-4212,평택시청 산림녹지과,2019-04-01
팽성북로,36.975468,127.076555,36.972854,127.04027,왕벚,805,3508,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,팽성북로,,평궁사거리~원정삼거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
팽성서로,36.94606,127.014551,36.960997,127.001846,은행+왕벚,161,1161,,도로 좌우쪽으로 은행+왕벚나무가 심겨져 있어 아름다운 경관 연출,팽성서로,,본정삼거리~평택 팽성읍 도두리 177-9,031-8024-4212,평택시청 산림녹지과,2019-04-01
팽성대교길,36.962377,127.043202,36.977608,127.034332,왕벚,329,1705,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,팽성대교길,,안정3리사거리~팽성대교,031-8024-4212,평택시청 산림녹지과,2019-04-01
내리길,36.969476,127.036847,36.974038,127.038497,왕벚,203,739,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,내리길,,동창리 40-6~대추리삼거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
안정순환로,36.952327,127.053089,36.958217,127.052709,왕벚,316,2098,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,안정순환로,,송화교차로~평택 팽성읍 송화리 80-12,031-8024-4212,평택시청 산림녹지과,2019-04-01
추팔산단로,36.959728,127.073948,36.963969,127.068894,왕벚,151,762,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,추팔산단로,,GS25추팔공단점~추팔공업단지사거리,031-8024-4212,평택시청 산림녹지과,2019-04-01
노와길,36.955611,127.083483,36.953742,127.080253,은행,6,63,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,노와길,,경기도유아체험교육원~대양프라텍,031-8024-4212,평택시청 산림녹지과,2019-04-01
안현로서9길,36.977602,126.924146,36.987916,126.917534,느티+은행+왕벚,486,2344,,도로 좌우쪽으로 느티+은행+왕벚나무가 심겨져 있어 아름다운 경관 연출,안현로서9길,,안중버스터미널~이화마을 건영캐스빌 APT,031-8024-8482,안중출장소 건축녹지과,2019-04-01
안현로서7길,36.98068,126.92571,36.980542,126.91803,은행,189,911,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,안현로서7길,,동신2차아파트~늘푸른아파트,031-8024-8482,안중출장소 건축녹지과,2019-04-01
안현로서8길,36.977585,126.924075,36.979475,126.916376,느티+은행,208,976,,도로 좌우쪽으로 느티+은행나무가 심겨져 있어 아름다운 경관 연출,안현로서8길,,안중터미널~현화고교앞삼거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01
현화중앙길,36.978941,126.921395,36.987409,126.92009,느티+은행,218,1023,,도로 좌우쪽으로 느티+은행나무가 심겨져 있어 아름다운 경관 연출,현화중앙길,,성대마트~현대3차아파트,031-8024-8482,안중출장소 건축녹지과,2019-04-01
안현로,36.952004,126.91435,36.989664,126.932719,소나무+느티,177,1452,,도로 좌우쪽으로 소나무+느티나무가 심겨져 있어 아름다운 경관 연출,안현로,,기산교차로~안중오거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01
안중로,36.982539,126.924397,36.989582,126.933733,은행+왕벚,81,533,,도로 좌우쪽으로 은행+왕벚나무가 심겨져 있어 아름다운 경관 연출,안중로,,평택안일초등학교~평택 안중읍 안중리 212-5,031-8024-8482,안중출장소 건축녹지과,2019-04-01
서해로,36.970751,126.931189,37.020033,126.943726,이팝,971,5511,,도로 좌우쪽으로 이팝나무가 심겨져 있어 아름다운 경관 연출,서해로,,평택 안중읍 송담리 515-1~오뚜기식품 버스정류장,031-8024-8482,안중출장소 건축녹지과,2019-04-01
평택시청 안중출장소 입구길,36.988609,126.92059,36.989862,126.919693,왕벚,17,73,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,평택시청 안중출장소 입구길,,평택시청 안중출장소입구 주차장~평택시 안중 출장소,031-8024-8482,안중출장소 건축녹지과,2019-04-01
동탄산단2길,37.164167,127.089444,37.161944,127.087778,회화나무,38,0.4,,회화나무,동탄산단2길,,동탄산단2길,031-369-3705,화성시청 산림녹지과,2019-04-02
감배산로,37.201389,127.023889,37.18655487,127.030556,은행나무,23,0.2,,은행나무,감배산로,,감배산로,031-369-3705,화성시청 산림녹지과,2019-04-02
금곡로,37.181111,127.078056,37.167778,127.078611,벚나무,139,2.5,,벚나무,금곡로,,금곡로,031-369-6135,화성시청 산림녹지과,2019-04-02
서해로,37.091944,126.910833,37.083056,126.913056,은행나무,187,1,,은행나무,서해로,,서해로,031-369-6126,화성시청 산림녹지과,2019-04-02
제약단지로,37.090556,126.911111,37.090278,126.918333,중국단풍,122,0.7,,중국단풍,제약단지로,,제약단지로,031-369-6126,화성시청 산림녹지과,2019-04-02
제약공단4길,37.091667,126.900833,37.090278,126.9045149,느티나무,246,1.6,,느티나무,제약공단4길,,제약공단4길,031-369-6126,화성시청 산림녹지과,2019-04-02
발안공단로,37.081389,126.899444,37.086111,126.898889,고로쇠나무,243,1.4,,고로쇠나무,발안공단로,,발안공단로,031-369-6126,화성시청 산림녹지과,2019-04-02
발안공단로4길,37.083611,126.895278,37.084167,126.909722,메타세콰이어,237,1.3,,메타세콰이어,발안공단로4길,,발안공단로4길,031-369-6126,화성시청 산림녹지과,2019-04-02
발안공단로4길,37.088333,126.899167,37.081667,126.8966434,중국단풍,124,0.8,,중국단풍,발안공단로4길,,발안공단로4길,031-369-6126,화성시청 산림녹지과,2019-04-02
발안공단로4길,37.088333,126.899167,37.081667,126.8966434,느티나무,2,0.8,,느티나무,발안공단로4길,,발안공단로4길,031-369-6126,화성시청 산림녹지과,2019-04-02
발안공단로4길,37.083611,126.902222,37.081111,126.8966434,중국단풍,62,0.3,,중국단풍,발안공단로4길,,발안공단로4길,031-369-6126,화성시청 산림녹지과,2019-04-02
발안공단로5길,37.08643048,126.906111,37.085833,126.905833,메타세콰이어,120,0.7,,메타세콰이어,발안공단로5길,,발안공단로5길,031-369-6126,화성시청 산림녹지과,2019-04-02
발안공단로5길,37.08643048,126.906111,37.085833,126.905833,벚나무,3,0.7,,벚나무,발안공단로5길,,발안공단로5길,031-369-6126,화성시청 산림녹지과,2019-04-02
발안공단로3길,37.083889,126.910278,37.081944,126.906389,벚나무,149,0.8,,벚나무,발안공단로3길,,발안공단로3길,031-369-6126,화성시청 산림녹지과,2019-04-02
"발안공단로, 발안공단로3길",37.089444,126.908611,37.084444,126.9088139,느티나무,106,0.6,,느티나무,"발안공단로, 발안공단로3길",,"발안공단로, 발안공단로3길",031-369-6126,화성시청 산림녹지과,2019-04-02
"제약단지로, 발안공단로2길",37.083333,126.913889,37.091944,126.910833,느티나무,190,1,,느티나무,"제약단지로, 발안공단로2길",,"제약단지로, 발안공단로2길",031-369-6126,화성시청 산림녹지과,2019-04-02
발안공단로,37.096111,126.914444,37.087222,126.9009637,중국단풍,185,0.7,,중국단풍,발안공단로,,발안공단로,031-369-6126,화성시청 산림녹지과,2019-04-02
발안공단로1길,37.090278,126.916944,37.084444,126.914167,벚나무,143,0.8,,벚나무,발안공단로1길,,발안공단로1길,031-369-6126,화성시청 산림녹지과,2019-04-02
도이교차로,37.135556,126.911389,37.134722,126.926667,은행나무,522,2,,은행나무,도이교차로,,도이교차로,031-369-6126,화성시청 산림녹지과,2019-04-02
발안초등학교,37.130556,126.930278,37.131111,126.912778,느티나무,271,1.6,,느티나무,발안초등학교,,발안초등학교,031-369-6126,화성시청 산림녹지과,2019-04-02
향남읍 행정리 496-16,37.125833,126.922778,37.123333,126.919722,복자기,173,1.2,,복자기,향남읍 행정리 496-16,,향남읍 행정리 496-16,031-369-6126,화성시청 산림녹지과,2019-04-02
향남읍 방축리 85-1,37.121667,126.917778,37.122222,126.9163464,느티나무,41,0.2,,느티나무,향남읍 방축리 85-1,,향남읍 방축리 85-1,031-369-6126,화성시청 산림녹지과,2019-04-02
발안바이오고등학교,37.123889,126.913889,37.131111,126.901667,벚나무,155,0.9,,벚나무,발안바이오고등학교,,발안바이오고등학교,031-369-6126,화성시청 산림녹지과,2019-04-02
향남읍 행정리 468-2,37.134722,126.921111,37.123333,126.9181719,은행나무,205,1.4,,은행나무,향남읍 행정리 468-2,,향남읍 행정리 468-2,031-369-6126,화성시청 산림녹지과,2019-04-02
향남읍 행정리 486-4,37.133333,126.922222,37.129722,126.923056,목백합,109,0.5,,목백합,향남읍 행정리 486-4,,향남읍 행정리 486-4,031-369-6126,화성시청 산림녹지과,2019-04-02
향남읍 행정리 473-4,37.132222,126.921944,37.132222,126.922778,목백합,13,0.1,,목백합,향남읍 행정리 473-4,,향남읍 행정리 473-4,031-369-6126,화성시청 산림녹지과,2019-04-02
금촌 가나무로 중국단풍나무길,37.451504,126.455416,37.451521,126.465951,중국단풍,295,1.7,2004,가을 단풍이 아름다운 중국단풍나무길,가나무로,,장안흰돌마을~주공1단지,031-940-4371,경기도 파주시,2017-10-31
중앙로 메타세콰이아길,37.445819,126.475172,37.453841,126.463733,메타세콰이아,272,2.1,1995,파주 중심부를 가로지르는 대형목이 나열된 길,"중앙로, 시청로",지방도,말레이지아교~시청사거리주변,031-940-4371,경기도 파주시,2017-10-31
금월로 소나무길,37.461231,126.454654,37.464349,126.460765,소나무,195,1,2015,파주시 최초로 조성된 조선소나무길,금월로,지방도,문산제일고~월롱면 덕은리,031-940-4371,경기도 파주시,2017-10-31
운정 와석순환로 이팝나무길,37.432553,126.455611,37.423636,126.453157,이팝나무,834,5.3,2012,운정신도시내  순환하는 이팝나무길,와석순환로,,운정역~한빛지하차도,031-940-4371,경기도 파주시,2017-10-31
파주 연풍리 이팝나무길,37.502684,126.484685,37.493228,126.503656,이팝나무,510,3.3,2015,도로를 따라 이팝나무가 연속으로 식재된 길,파발로,,연풍2리교차로~향양리경계,031-940-4371,경기도 파주시,2017-10-31
양수리 두물머리길,37.544029,127.320004,37.534733,127.316276,은행나무+느티나무+회화나무,,1.1,,"양평의 명소 두물머리의 진입로로 은행나무, 느티나무 등이 식재되어 있음.",,,양서양수~양서양수,031-770-2415,양평군청(산림과),2020-06-12
석장2리-앙덕,37.457962,127.521266,37.457962,127.524564,산수유나무,,3.7,,산수유축제로 유명한 개군면의 가로수길로 꽃이 피는 봄철 경관도 아름답지만 열매가 맺히는 가을철 경관 또한 아름다움.,,,개군석장~개군앙덕,031-770-2415,양평군청(산림과),2020-06-12
백안리 양근천변로,37.496472,127.516028,37.523123,127.538882,이팝나무,,1,,양근천 산책로를 따라 좌우로 왕벚나무가 식재되어 있음.,,,양평백안~양평공흥,031-770-2415,양평군청(산림과),2020-06-12
다문리 양묘사업소,37.481127,127.598673,37.481386,127.602069,벚나무,,0.3,,다문리에 있는 양평양묘사업소 앞길 500m거리에 벚나무가 식재되어 있음.,,,용문다문~용문다문,031-770-2415,양평군청(산림과),2020-06-12
향남읍 행정리 474-1,37.131667,126.922778,37.132222,126.921667,목백합,19,0.1,,목백합,향남읍 행정리 474-1,,향남읍 행정리 474-1,031-369-6126,화성시청 산림녹지과,2019-04-02
발안농협 행정지점,37.131111,126.915556,37.129722,126.918611,이팝나무,86,0.5,,이팝나무,발안농협 행정지점,,발안농협 행정지점,031-369-6126,화성시청 산림녹지과,2019-04-02
향일고등학교,37.131111,126.915556,37.129722,126.918611,이팝나무,36,0.2,,이팝나무,향일고등학교,,향일고등학교,031-369-6126,화성시청 산림녹지과,2019-04-02
향남읍 행정리 462-1,37.125833,126.917222,37.125833,126.9150946,이팝나무,45,0.2,,이팝나무,향남읍 행정리 462-1,,향남읍 행정리 462-1,031-369-6126,화성시청 산림녹지과,2019-04-02
한울초등학교,37.123056,126.916111,37.125833,126.917778,이팝나무,66,0.4,,이팝나무,한울초등학교,,한울초등학교,031-369-6126,화성시청 산림녹지과,2019-04-02
향남읍 행정리 496-16,37.125833,126.922778,37.123333,126.919722,벚나무,66,0.5,,벚나무,향남읍 행정리 496-16,,향남읍 행정리 496-16,031-369-6126,화성시청 산림녹지과,2019-04-02
향남읍 행정리 507-10,37.125833,126.9258403,37.126667,126.928611,왕벚나무,12,0.1,,왕벚나무,향남읍 행정리 507-10,,향남읍 행정리 507-10,031-369-6126,화성시청 산림녹지과,2019-04-02
향남읍 행정리 477-4,37.132222,126.926389,37.131944,126.926944,목백합,21,0.1,,목백합,향남읍 행정리 477-4,,향남읍 행정리 477-4,031-369-6126,화성시청 산림녹지과,2019-04-02
향남보행자A,37.129722,126.917222,37.128611,126.916944,왕벚나무,19,0.1,,왕벚나무,향남보행자A,,향남보행자A,031-369-6126,화성시청 산림녹지과,2019-04-02
향남보행자B,37.12549483,126.917778,37.126389,126.916944,회화나무,13,0.1,,회화나무,향남보행자B,,향남보행자B,031-369-6126,화성시청 산림녹지과,2019-04-02
향남보행자C,37.128056,126.9219561,37.128056,126.916944,메타세콰이어,22,0.2,,메타세콰이어,향남보행자C,,향남보행자C,031-369-6126,화성시청 산림녹지과,2019-04-02
향남보행자D,37.127778,126.919167,37.128333,126.918889,메타세콰이어,11,0.1,,메타세콰이어,향남보행자D,,향남보행자D,031-369-6126,화성시청 산림녹지과,2019-04-02
향남보행자E,37.127778,126.921667,37.12549483,126.922778,느티나무,13,0.1,,느티나무,향남보행자E,,향남보행자E,031-369-6126,화성시청 산림녹지과,2019-04-02
향남보행자F,37.126944,126.925556,37.127003,126.925597,느티나무,5,0.1,,느티나무,향남보행자F,,향남보행자F,031-369-6126,화성시청 산림녹지과,2019-04-02
향남보행자G,37.128333,126.927778,37.128533,126.927858,느티나무,17,0.2,,느티나무,향남보행자G,,향남보행자G,031-369-6126,화성시청 산림녹지과,2019-04-02
대흥-도곡,37.487462,127.540876,37.474806,127.527387,벚나무,,2,,대흥리~도곡리 마을길로 좌우측에 왕벚나무가 터널형으로 식재되어 있음.,,,양평대흥~양평도곡,031-770-2415,양평군청(산림과),2020-06-12
발안남로 15번길,37.13003361,126.899722,37.132778,126.899444,대왕참나무,4,0.1,,대왕참나무,발안남로 15번길,,발안남로 15번길,031-369-6126,화성시청 산림녹지과,2019-04-02
발안남로,37.129444,126.9022181,37.131667,126.899167,대왕참나무,131,0.7,,대왕참나무,발안남로,,발안남로,031-369-6126,화성시청 산림녹지과,2019-04-02
발안서로,37.129167,126.900833,37.130833,126.903056,이팝나무,57,0.3,,이팝나무,발안서로,,발안서로,031-369-6126,화성시청 산림녹지과,2019-04-02
3.1만세로,37.127778,126.903333,37.129167,126.9004098,이팝나무,54,0.2,,이팝나무,3.1만세로,,3.1만세로,031-369-6126,화성시청 산림녹지과,2019-04-02
삼천병마로,37.139167,126.911389,37.138056,126.912778,배롱나무,20,0.5,,배롱나무,삼천병마로,,삼천병마로,031-369-6126,화성시청 산림녹지과,2019-04-02
삼천병마로,37.139167,126.911389,37.138056,126.912778,이팝나무,11,0.5,,이팝나무,삼천병마로,,삼천병마로,031-369-6126,화성시청 산림녹지과,2019-04-02
발안로,37.130556,126.931944,37.122778,126.993333,은행나무,202,6.5,,은행나무,발안로,,발안로,031-369-6126,화성시청 산림녹지과,2019-04-02
발안로,37.130556,126.931944,37.122778,126.993333,벚나무,79,6.5,,벚나무,발안로,,발안로,031-369-6126,화성시청 산림녹지과,2019-04-02
푸른들판로,37.137778,126.905278,37.135833,126.903889,은행나무,51,0.3,,은행나무,푸른들판로,,푸른들판로,031-369-6126,화성시청 산림녹지과,2019-04-02
상신로/남양호로/남양황량로,37.027222,126.803333,37.03094994,126.863333,벚나무,612,13.6,,벚나무,상신로/남양호로/남양황량로,,상신로/남양호로/남양황량로,031-369-6126,화성시청 산림녹지과,2019-04-02
서봉로,37.138056,126.956111,37.09813863,126.957222,은행나무,8,0.2,,은행나무,서봉로,,서봉로,031-369-6126,화성시청 산림녹지과,2019-04-02
제약단지로,37.088889,126.928056,37.088056,126.938889,벚나무,41,2.1,,벚나무,제약단지로,,제약단지로,031-369-6126,화성시청 산림녹지과,2019-04-02
발안서로,37.133611,126.905278,37.136944,126.906389,이팝나무,104,0.5,,이팝나무,발안서로,,발안서로,031-369-6126,화성시청 산림녹지과,2019-04-02
향남로,37.136389,126.921389,37.140833,126.9041053,은행나무,163,0.9,,은행나무,향남로,,향남로,031-369-6126,화성시청 산림녹지과,2019-04-02
향남로,37.136389,126.921389,37.140833,126.9041053,소나무(장송),33,0.3,,소나무(장송),향남로,,향남로,031-369-6126,화성시청 산림녹지과,2019-04-02
삼천병마로,37.136111,126.911667,37.146111,126.919722,느티나무,211,1.5,,느티나무,삼천병마로,,삼천병마로,031-369-6126,화성시청 산림녹지과,2019-04-02
향봉로,37.133889,126.941389,37.151697,126.933611,벚나무,330,2,,벚나무,향봉로,,향봉로,031-369-6126,화성시청 산림녹지과,2019-04-02
사격장길,37.090833,126.971111,37.092778,126.9727481,벚나무,70,1.3,,벚나무,사격장길,,사격장길,031-369-6126,화성시청 산림녹지과,2019-04-02
초록로/정문회차로,37.08113798,126.972778,37.12265248,127.035278,벚나무,156,8.8,,벚나무,초록로/정문회차로,,초록로/정문회차로,031-369-6126,화성시청 산림녹지과,2019-04-02
초록로/정문회차로,37.08113798,126.972778,37.12265248,127.035278,은행나무,120,8.8,,은행나무,초록로/정문회차로,,초록로/정문회차로,031-369-6126,화성시청 산림녹지과,2019-04-02
은행나무로,37.092778,126.940556,37.104444,126.935833,은행나무,31,3.6,,은행나무,은행나무로,,은행나무로,031-369-6126,화성시청 산림녹지과,2019-04-02
